# Temperature, K	# Time, s	Channel 1: R8, Ohms	Channel 2: R7, Ohms	Channel 3: R2, Ohms	Channel 4: R3, Ohms	Channel 5: R5, Ohms	Channel 6: R6, Ohms	Channel 7: R11, Ohms	Channel 8: R12, Ohms	Channel 9: ROX, Ohms
9.699380500478871170e+01	1.629610888361334085e+09	5.192200000000000273e+02	5.121073333333332585e+02	5.322523333333333539e+03	5.358930000000000291e+03	2.392343333333333248e+03	1.386970000000000027e+03	1.727406666666666744e+06	1.657646666666666744e+06	1.094086666666666815e+03
9.841902441479605557e+01	1.629581377671064854e+09	5.185149999999999864e+02	5.116512500000000045e+02	5.315237500000000182e+03	5.354857500000000073e+03	2.391049999999999727e+03	1.386500000000000000e+03	1.334985000000000000e+06	1.274860000000000000e+06	1.091267499999999927e+03
9.991057354503466570e+01	1.629610740878484011e+09	5.187933333333332939e+02	5.115963333333332343e+02	5.321433333333333394e+03	5.356750000000000000e+03	2.391336666666666588e+03	1.386633333333333439e+03	1.203940000000000000e+06	1.149060000000000000e+06	1.092893333333333430e+03
1.009512523617072475e+02	1.629492817367377520e+09	5.178849999999999909e+02	5.113954999999999700e+02	5.297835000000000036e+03	5.346239999999999782e+03	2.387369999999999891e+03	1.385679999999999836e+03	1.330775000000000000e+06	1.650680000000000000e+06	1.085495000000000118e+03
1.019938454284662726e+02	1.629610611745582581e+09	5.192566666666666606e+02	5.115836666666666588e+02	5.321566666666666606e+03	5.356430000000000291e+03	2.390776666666666642e+03	1.386793333333333294e+03	1.727153333333333256e+06	1.657340000000000000e+06	1.091790000000000191e+03
1.033096480449222128e+02	1.629610556300207853e+09	5.162233333333332439e+02	5.115299999999999727e+02	5.320420000000000073e+03	5.356020000000000437e+03	2.390443333333333157e+03	1.386696666666666715e+03	1.727026666666666744e+06	1.657233333333333256e+06	1.090853333333333467e+03
1.048650230203922149e+02	1.629580976329436302e+09	5.185575000000000045e+02	5.113462499999999977e+02	5.314217499999999745e+03	5.352842500000000655e+03	2.389309999999999945e+03	1.386202499999999873e+03	1.725630000000000000e+06	1.655767500000000000e+06	1.088615000000000236e+03
1.064053745073764929e+02	1.629610408671546221e+09	5.154333333333332803e+02	5.113940000000000055e+02	5.319539999999999964e+03	5.354880000000000109e+03	2.390950000000000273e+03	1.386433333333333394e+03	1.727203333333333256e+06	1.657366666666666744e+06	1.089660000000000082e+03
1.077678814765583155e+02	1.629610353072550058e+09	5.174966666666665560e+02	5.113586666666666929e+02	5.319773333333333539e+03	5.353973333333332448e+03	2.390283333333333303e+03	1.386313333333333503e+03	1.727283333333333256e+06	1.657443333333333256e+06	1.088963333333333367e+03
1.089645283184693625e+02	1.629669411557751179e+09	5.156000000000000227e+02	5.113015000000000327e+02	5.329880000000000109e+03	5.357255000000000109e+03	2.391355000000000018e+03	1.386724999999999909e+03	1.730070000000000000e+06	1.660420000000000000e+06	1.091640000000000100e+03
1.100748792278403130e+02	1.629610279407476425e+09	5.182266666666665742e+02	5.110343333333333362e+02	5.318016666666666424e+03	5.353023333333333539e+03	2.390053333333333285e+03	1.386159999999999854e+03	1.727273333333333256e+06	1.657466666666666744e+06	1.087933333333333394e+03
1.114740774936427243e+02	1.629610224005137205e+09	5.169399999999999409e+02	5.109920000000000186e+02	5.318970000000000255e+03	5.352713333333333139e+03	2.388976666666666915e+03	1.386023333333333312e+03	1.727060000000000000e+06	1.657283333333333256e+06	1.087559999999999718e+03
1.128892284064747713e+02	1.629610168459068298e+09	5.177033333333333758e+02	5.109006666666666661e+02	5.318199999999999818e+03	5.351760000000000218e+03	2.388943333333333157e+03	1.385923333333333403e+03	1.726860000000000000e+06	1.657073333333333256e+06	1.087223333333333358e+03
1.140874763367845048e+02	1.629491709725127697e+09	5.169349999999999454e+02	5.107100000000000364e+02	5.298085000000000036e+03	5.344659999999999854e+03	2.385095000000000255e+03	1.385005000000000109e+03	1.721050000000000000e+06	1.651090000000000000e+06	1.080720000000000027e+03
1.153053491736349230e+02	1.629610039106667519e+09	5.167866666666667470e+02	5.108296666666666965e+02	5.318213333333333139e+03	5.350936666666665587e+03	2.388666666666666515e+03	1.386049999999999955e+03	1.726623333333333256e+06	1.656886666666666744e+06	1.086066666666666606e+03
